,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.02G145600.Wm82.a4.v1,0.5192502007156352,0.36335566839645983,0.28099422851011696,1.2931072297215438,0.1959739750006405,0.30269949781900946
Glyma.13G241800.Wm82.a4.v1,7.146028486471786,0.11982448363590671,0.09266985460355787,1.2930254843769475,0.19600224517125886,0.30272459614521996
Glyma.06G016000.Wm82.a4.v1,0.42641502041193696,0.31507527363454674,0.2436984742592212,1.2928898081626983,0.19604917296795354,0.30277850624628816
Glyma.20G117600.Wm82.a4.v1,0.44840011801035884,0.39136958863878085,0.3027356573494765,1.2927766489924437,0.1960883188480529,0.30282039207398764
Glyma.20G031600.Wm82.a4.v1,0.9049025899241112,0.21431758583863625,0.1657973648237425,1.2926477213101373,0.19613292661077264,0.3028521362952411
Glyma.08G305450.Wm82.a4.v1,0.210497159613694,0.384610015356304,0.29753072479289766,1.2926732713874163,0.19612408593419872,0.3028521362952411
Glyma.11G086300.Wm82.a4.v1,1.8917976985905485,0.2167458324010842,0.16768601079737036,1.2925695552683705,0.19615997494457282,0.30285676224812563
Glyma.08G190800.Wm82.a4.v1,0.4306998424164864,0.34449943076199036,0.26652082601861266,1.2925797803805847,0.19615643652320014,0.30285676224812563
Glyma.02G057400.Wm82.a4.v1,1.2447424645913532,-0.28519508488390966,0.22073524162660693,-1.2920233433605595,0.1963490606933158,0.30311238938963114
Glyma.05G127800.Wm82.a4.v1,0.7894412894538659,0.256949968288683,0.19887433857960343,1.2920217365592073,0.19634961712715138,0.30311238938963114
Glyma.19G193100.Wm82.a4.v1,0.15350132629725385,0.7693765470812265,0.5955039046121245,1.2919756547731658,0.19636557569904745,0.30311844384143144
Glyma.15G268400.Wm82.a4.v1,0.15067858998634873,0.49964655926715057,0.38674319612776475,1.2919336765838978,0.19638011398235977,0.3031223052661824
Glyma.14G085800.Wm82.a4.v1,4.056924755659171,-0.14456818167269236,0.11191219367649123,-1.2918000882960172,0.1964263847881892,0.30317514391523465
Glyma.06G003300.Wm82.a4.v1,1.0158015635963265,-0.24229465135080475,0.18758735422671155,-1.29163638108556,0.19648309873632608,0.30324409361260646
Glyma.07G085900.Wm82.a4.v1,1.967359837555755,0.17864851352751024,0.13834781781534483,1.2912998292893598,0.19659972981515694,0.30340550287627754
Glyma.08G273000.Wm82.a4.v1,1.1678793238308114,0.20848246815753416,0.16146822245196993,1.2911671720393716,0.1966457157417172,0.30345787484059467
Glyma.14G076500.Wm82.a4.v1,1.0023723859983757,0.2670182043172798,0.20684587478128189,1.2909041797407077,0.19673690588745918,0.30356075555682344
Glyma.02G144267.Wm82.a4.v1,0.19467847776535557,0.44570507350750976,0.345258968311465,1.290929749594311,0.19672803841850572,0.30356075555682344
Glyma.10G037900.Wm82.a4.v1,0.37041130195186744,0.37927519723817527,0.2938134876765543,1.2908706139988433,0.19674854672590525,0.30356075555682344
Glyma.14G070300.Wm82.a4.v1,0.5788548014763757,0.2651088147817528,0.20541514353051757,1.2906001486806977,0.19684236443300518,0.30368689968243395
Glyma.13G041500.Wm82.a4.v1,2.253892641356835,0.1658315848450972,0.12849592312880317,1.2905591150846794,0.19685660083066336,0.30369025843657166
Glyma.19G230000.Wm82.a4.v1,0.19960778773948415,0.4557680504225788,0.3532070696294548,1.2903706907699197,0.19692198336923827,0.3037725149885162
Glyma.19G255600.Wm82.a4.v1,0.6601487455349804,0.27712982968001637,0.21477510913259884,1.2903256378229597,0.196937618929938,0.30377802630850353
