,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Glyma.11G104200.Wm82.a4.v1,3.8622366459985398,-0.4093346228009724,0.08704943046787897,-4.70232396238383,2.5721695691112753e-06,2.484639804864391e-05
Glyma.03G031200.Wm82.a4.v1,0.5589871077866844,1.1353464839044032,0.24145421601243125,4.702119112494396,2.5747521719275834e-06,2.4858681611044213e-05
Glyma.17G202300.Wm82.a4.v1,1.8581260963850859,-0.5294821202211164,0.1126718801751909,-4.6993279902477605,2.6101896107092137e-06,2.518799765815171e-05
Glyma.07G188100.Wm82.a4.v1,0.738677009102099,-1.2115700496028707,0.2578387457507262,-4.6989448621278775,2.6150903787175155e-06,2.522245359167931e-05
Glyma.10G041500.Wm82.a4.v1,1.1966558465754076,-0.752505179212633,0.16024915342198562,-4.695844958575563,2.655068773058623e-06,2.5595024949027763e-05
Glyma.02G164700.Wm82.a4.v1,0.9120102967545424,0.6428149417251531,0.137000007180572,4.6920796206812945,2.7044183032370726e-06,2.6057510094502727e-05
Glyma.20G221100.Wm82.a4.v1,0.8479073714076701,0.7605609370422691,0.16211885178673152,4.691378754907495,2.7137006960624665e-06,2.613366815578288e-05
Glyma.05G166100.Wm82.a4.v1,1.3231510881936523,0.6159705729522731,0.13131384293053958,4.690827404069653,2.7210243653929835e-06,2.6190895439889217e-05
Glyma.10G235700.Wm82.a4.v1,1.854865465129698,0.5042031175561753,0.10749015240905699,4.6906912517661645,2.722835813426711e-06,2.6192169375583074e-05
Glyma.17G050100.Wm82.a4.v1,1.4256992964695838,0.5916596218474375,0.12613703550590014,4.690609855182163,2.7239193127649945e-06,2.6192169375583074e-05
Glyma.11G172401.Wm82.a4.v1,2.492346621465904,0.7725373933025824,0.16471914412479338,4.690027970988593,2.731677043940684e-06,2.6253451650888626e-05
Glyma.18G054900.Wm82.a4.v1,0.7027213856905236,0.8403533040657958,0.17919160643679144,4.689691223691464,2.736176269540646e-06,2.6283371034969464e-05
Glyma.16G169200.Wm82.a4.v1,1.0545939496219425,-2.102026705076944,0.4482525939272025,-4.689379902212722,2.7403421105781427e-06,2.6310059291535566e-05
Glyma.10G106900.Wm82.a4.v1,0.6165343602468147,0.749705893088992,0.15987691379865618,4.689269233912956,2.741824446133392e-06,2.631096920424159e-05
Glyma.10G014400.Wm82.a4.v1,0.3970730847733327,1.5505829094828827,0.33085991105843776,4.686523986911829,2.778842640461363e-06,2.6652713276898515e-05
Glyma.16G198600.Wm82.a4.v1,0.9468749639676545,-0.9170871888379768,0.19572873365229257,-4.685501059170803,2.792758543451237e-06,2.6772642821497655e-05
Glyma.12G147300.Wm82.a4.v1,0.7614254187436981,0.822508991842659,0.17557664051806798,4.684615159600446,2.804864328719578e-06,2.6875107327529377e-05
Glyma.19G173300.Wm82.a4.v1,10.470485305469335,0.5479954532734634,0.11702856065776689,4.682578767041295,2.8328827572226507e-06,2.7129860021442375e-05
Glyma.13G199300.Wm82.a4.v1,20.19950436402091,-0.2566807819352773,0.05482038857878201,-4.682213836671425,2.8379320745251834e-06,2.7164496717388452e-05
Glyma.02G218300.Wm82.a4.v1,2.125840156866357,-0.770080859886528,0.16448108527249047,-4.681880950692659,2.84254554389994e-06,2.7194928659652203e-05
