,highly_variable,in_integrated
Glyma.16G077200.Wm82.a4.v1,False,False
Glyma.19G184100.Wm82.a4.v1,False,False
Glyma.01G061700.Wm82.a4.v1,False,False
Glyma.06G055900.Wm82.a4.v1,False,False
Glyma.07G034600.Wm82.a4.v1,False,False
Glyma.07G130400.Wm82.a4.v1,False,False
Glyma.04G036300.Wm82.a4.v1,False,False
Glyma.06G088300.Wm82.a4.v1,True,True
Glyma.13G357900.Wm82.a4.v1,False,False
Glyma.07G265400.Wm82.a4.v1,False,False
Glyma.06G054600.Wm82.a4.v1,False,False
Glyma.11G085700.Wm82.a4.v1,False,False
Glyma.08G086700.Wm82.a4.v1,False,False
Glyma.13G030100.Wm82.a4.v1,False,False
Glyma.11G043300.Wm82.a4.v1,False,False
Glyma.07G190300.Wm82.a4.v1,False,False
Glyma.17G054900.Wm82.a4.v1,False,False
Glyma.08G238700.Wm82.a4.v1,False,False
Glyma.20G144600.Wm82.a4.v1,False,True
Glyma.05G003900.Wm82.a4.v1,False,True
Glyma.14G031800.Wm82.a4.v1,False,False
Glyma.08G316900.Wm82.a4.v1,False,False
Glyma.19G140400.Wm82.a4.v1,False,False
Glyma.09G200600.Wm82.a4.v1,False,False
Glyma.19G193100.Wm82.a4.v1,False,False
Glyma.14G026700.Wm82.a4.v1,False,False
Glyma.11G080700.Wm82.a4.v1,False,False
Glyma.02G164300.Wm82.a4.v1,False,False
Glyma.09G114500.Wm82.a4.v1,False,False
Glyma.03G142900.Wm82.a4.v1,False,False
Glyma.03G091800.Wm82.a4.v1,False,False
Glyma.06G011300.Wm82.a4.v1,False,False
Glyma.06G126400.Wm82.a4.v1,False,False
Glyma.08G055100.Wm82.a4.v1,False,False
Glyma.01G079300.Wm82.a4.v1,False,False
Glyma.13G264500.Wm82.a4.v1,False,False
Glyma.02G282202.Wm82.a4.v1,False,False
Glyma.06G071500.Wm82.a4.v1,False,False
Glyma.11G155677.Wm82.a4.v1,False,False
Glyma.05G047800.Wm82.a4.v1,False,False
Glyma.09G242900.Wm82.a4.v1,False,False
Glyma.19G041375.Wm82.a4.v1,False,False
Glyma.19G222300.Wm82.a4.v1,False,False
Glyma.14G104002.Wm82.a4.v1,False,False
Glyma.08G084800.Wm82.a4.v1,False,False
Glyma.05G006700.Wm82.a4.v1,False,False
Glyma.04G234800.Wm82.a4.v1,False,False
Glyma.07G195700.Wm82.a4.v1,False,False
Glyma.06G153500.Wm82.a4.v1,False,False
Glyma.01G131200.Wm82.a4.v1,False,False
Glyma.02G147400.Wm82.a4.v1,False,False
Glyma.05G020200.Wm82.a4.v1,False,False
Glyma.19G248700.Wm82.a4.v1,False,False
Glyma.15G165900.Wm82.a4.v1,False,False
Glyma.10G236702.Wm82.a4.v1,False,False
Glyma.12G205400.Wm82.a4.v1,False,False
Glyma.19G010100.Wm82.a4.v1,False,False
Glyma.05G063000.Wm82.a4.v1,False,False
Glyma.13G304100.Wm82.a4.v1,False,False
Glyma.04G239900.Wm82.a4.v1,False,False
Glyma.05G156800.Wm82.a4.v1,False,False
Glyma.18G106800.Wm82.a4.v1,False,False
Glyma.18G170200.Wm82.a4.v1,False,False
Glyma.01G118200.Wm82.a4.v1,False,False
Glyma.13G258901.Wm82.a4.v1,False,False
Glyma.15G035600.Wm82.a4.v1,False,False
Glyma.06G254000.Wm82.a4.v1,False,False
Glyma.20G026000.Wm82.a4.v1,False,False
Glyma.20G122500.Wm82.a4.v1,False,False
Glyma.09G272101.Wm82.a4.v1,False,True
Glyma.13G205900.Wm82.a4.v1,False,False
Glyma.13G095600.Wm82.a4.v1,True,True
Glyma.20G203800.Wm82.a4.v1,False,False
Glyma.08G200100.Wm82.a4.v1,True,True
Glyma.06G172400.Wm82.a4.v1,False,False
Glyma.08G288100.Wm82.a4.v1,False,False
Glyma.03G050300.Wm82.a4.v1,False,False
Glyma.06G135300.Wm82.a4.v1,False,False
Glyma.12G162300.Wm82.a4.v1,False,False
Glyma.09G258900.Wm82.a4.v1,False,False
Glyma.05G183700.Wm82.a4.v1,False,False
Glyma.11G137151.Wm82.a4.v1,False,False
Glyma.19G194964.Wm82.a4.v1,False,False
Glyma.19G177500.Wm82.a4.v1,False,False
Glyma.06G307100.Wm82.a4.v1,True,True
Glyma.15G105800.Wm82.a4.v1,False,False
Glyma.17G156752.Wm82.a4.v1,False,False
Glyma.13G058800.Wm82.a4.v1,False,False
Glyma.10G171700.Wm82.a4.v1,False,False
Glyma.16G143600.Wm82.a4.v1,False,False
Glyma.11G015500.Wm82.a4.v1,False,False
Glyma.20G114800.Wm82.a4.v1,False,False
Glyma.03G111300.Wm82.a4.v1,False,False
Glyma.09G130400.Wm82.a4.v1,True,True
Glyma.02G269300.Wm82.a4.v1,False,False
Glyma.18G284900.Wm82.a4.v1,True,True
Glyma.U031222.Wm82.a4.v1,False,False
Glyma.05G207700.Wm82.a4.v1,False,False
Glyma.13G155600.Wm82.a4.v1,False,False
Glyma.19G187900.Wm82.a4.v1,False,False
Glyma.03G033200.Wm82.a4.v1,False,False
Glyma.04G146900.Wm82.a4.v1,False,False
Glyma.11G035900.Wm82.a4.v1,False,False
Glyma.01G160000.Wm82.a4.v1,False,False
Glyma.07G253200.Wm82.a4.v1,False,False
Glyma.11G195600.Wm82.a4.v1,False,False
Glyma.11G019800.Wm82.a4.v1,False,False
Glyma.08G141200.Wm82.a4.v1,False,False
Glyma.U032405.Wm82.a4.v1,False,False
Glyma.16G001000.Wm82.a4.v1,False,False
Glyma.04G125600.Wm82.a4.v1,False,False
Glyma.06G041800.Wm82.a4.v1,False,True
Glyma.20G114500.Wm82.a4.v1,False,False
Glyma.20G022302.Wm82.a4.v1,False,False
Glyma.05G192300.Wm82.a4.v1,False,False
Glyma.10G162100.Wm82.a4.v1,False,False
Glyma.09G177200.Wm82.a4.v1,False,False
Glyma.08G202700.Wm82.a4.v1,False,False
Glyma.16G068500.Wm82.a4.v1,False,False
Glyma.10G239500.Wm82.a4.v1,False,False
Glyma.07G191900.Wm82.a4.v1,False,False
Glyma.08G187400.Wm82.a4.v1,False,False
Glyma.08G209600.Wm82.a4.v1,False,False
Glyma.09G107951.Wm82.a4.v1,False,False
Glyma.07G029500.Wm82.a4.v1,False,False
Glyma.14G026800.Wm82.a4.v1,False,False
Glyma.08G329200.Wm82.a4.v1,False,False
Glyma.16G181700.Wm82.a4.v1,False,False
Glyma.17G186800.Wm82.a4.v1,False,False
Glyma.15G112600.Wm82.a4.v1,False,False
Glyma.17G112700.Wm82.a4.v1,False,False
Glyma.05G201200.Wm82.a4.v1,False,False
Glyma.20G021500.Wm82.a4.v1,True,True
Glyma.11G058800.Wm82.a4.v1,False,False
Glyma.01G211500.Wm82.a4.v1,False,True
Glyma.01G157300.Wm82.a4.v1,False,False
Glyma.13G139900.Wm82.a4.v1,False,False
Glyma.08G238100.Wm82.a4.v1,False,True
Glyma.04G025700.Wm82.a4.v1,False,False
Glyma.12G150400.Wm82.a4.v1,False,True
Glyma.12G059700.Wm82.a4.v1,False,False
Glyma.18G103800.Wm82.a4.v1,False,False
Glyma.09G144200.Wm82.a4.v1,False,False
Glyma.20G002400.Wm82.a4.v1,False,False
Glyma.09G266200.Wm82.a4.v1,False,False
Glyma.01G000600.Wm82.a4.v1,False,False
Glyma.13G364801.Wm82.a4.v1,False,False
Glyma.10G213100.Wm82.a4.v1,False,False
Glyma.08G105200.Wm82.a4.v1,False,False
Glyma.06G295600.Wm82.a4.v1,False,False
Glyma.07G027800.Wm82.a4.v1,False,False
Glyma.16G179500.Wm82.a4.v1,False,False
Glyma.07G106300.Wm82.a4.v1,False,False
Glyma.04G062500.Wm82.a4.v1,False,False
Glyma.01G028800.Wm82.a4.v1,False,False
Glyma.02G010900.Wm82.a4.v1,False,False
Glyma.06G065100.Wm82.a4.v1,False,False
Glyma.15G102100.Wm82.a4.v1,False,False
Glyma.07G250900.Wm82.a4.v1,False,False
Glyma.03G133700.Wm82.a4.v1,False,False
Glyma.17G067650.Wm82.a4.v1,False,False
Glyma.10G170600.Wm82.a4.v1,False,False
Glyma.11G009600.Wm82.a4.v1,False,False
Glyma.15G116500.Wm82.a4.v1,False,False
Glyma.15G275700.Wm82.a4.v1,False,False
Glyma.10G187300.Wm82.a4.v1,False,False
Glyma.18G271500.Wm82.a4.v1,False,False
Glyma.01G053300.Wm82.a4.v1,False,False
Glyma.04G057200.Wm82.a4.v1,False,False
Glyma.11G141800.Wm82.a4.v1,False,False
Glyma.05G208900.Wm82.a4.v1,False,False
Glyma.11G058200.Wm82.a4.v1,False,False
Glyma.11G126600.Wm82.a4.v1,False,False
Glyma.12G221800.Wm82.a4.v1,False,False
Glyma.09G109000.Wm82.a4.v1,False,False
Glyma.08G204900.Wm82.a4.v1,False,False
Glyma.11G099200.Wm82.a4.v1,False,False
Glyma.06G122600.Wm82.a4.v1,False,False
Glyma.18G212400.Wm82.a4.v1,False,False
Glyma.19G210300.Wm82.a4.v1,False,False
Glyma.02G073401.Wm82.a4.v1,False,False
Glyma.17G047600.Wm82.a4.v1,False,False
Glyma.17G045900.Wm82.a4.v1,False,False
Glyma.07G068500.Wm82.a4.v1,False,False
Glyma.13G007902.Wm82.a4.v1,False,False
Glyma.18G240100.Wm82.a4.v1,False,False
Glyma.19G231000.Wm82.a4.v1,False,False
Glyma.05G156500.Wm82.a4.v1,False,False
Glyma.08G105100.Wm82.a4.v1,False,False
Glyma.20G103200.Wm82.a4.v1,False,False
Glyma.13G328100.Wm82.a4.v1,False,False
Glyma.07G003200.Wm82.a4.v1,False,False
Glyma.18G101600.Wm82.a4.v1,False,False
Glyma.08G065100.Wm82.a4.v1,False,False
Glyma.05G017600.Wm82.a4.v1,False,False
Glyma.12G129200.Wm82.a4.v1,False,False
Glyma.10G018200.Wm82.a4.v1,False,False
Glyma.11G226500.Wm82.a4.v1,False,False
Glyma.16G117700.Wm82.a4.v1,False,False
Glyma.07G083300.Wm82.a4.v1,False,False
Glyma.08G257400.Wm82.a4.v1,False,False
Glyma.09G156800.Wm82.a4.v1,False,False
Glyma.04G071500.Wm82.a4.v1,False,False
Glyma.02G282400.Wm82.a4.v1,False,False
Glyma.17G073900.Wm82.a4.v1,False,False
Glyma.02G260800.Wm82.a4.v1,False,False
Glyma.15G230700.Wm82.a4.v1,False,False
Glyma.11G251800.Wm82.a4.v1,False,False
Glyma.20G166800.Wm82.a4.v1,False,False
Glyma.06G240300.Wm82.a4.v1,False,True
Glyma.13G146800.Wm82.a4.v1,False,False
Glyma.06G050700.Wm82.a4.v1,False,False
Glyma.19G106200.Wm82.a4.v1,False,False
Glyma.09G174800.Wm82.a4.v1,False,False
Glyma.16G062500.Wm82.a4.v1,False,False
Glyma.09G105000.Wm82.a4.v1,False,False
Glyma.18G045300.Wm82.a4.v1,False,True
Glyma.20G104700.Wm82.a4.v1,False,False
Glyma.11G250300.Wm82.a4.v1,False,False
Glyma.18G051100.Wm82.a4.v1,False,False
Glyma.04G195500.Wm82.a4.v1,False,False
Glyma.03G264700.Wm82.a4.v1,False,False
Glyma.13G332300.Wm82.a4.v1,False,False
Glyma.06G324100.Wm82.a4.v1,False,False
Glyma.20G222500.Wm82.a4.v1,False,False
Glyma.07G189100.Wm82.a4.v1,False,False
Glyma.01G165300.Wm82.a4.v1,False,False
Glyma.11G034000.Wm82.a4.v1,True,True
Glyma.15G155900.Wm82.a4.v1,False,False
Glyma.05G023500.Wm82.a4.v1,True,False
Glyma.12G017200.Wm82.a4.v1,False,False
Glyma.17G259400.Wm82.a4.v1,False,False
Glyma.19G250700.Wm82.a4.v1,False,False
Glyma.19G006100.Wm82.a4.v1,False,False
Glyma.03G152500.Wm82.a4.v1,False,False
Glyma.09G029500.Wm82.a4.v1,False,False
Glyma.04G224300.Wm82.a4.v1,False,False
Glyma.03G134300.Wm82.a4.v1,False,False
Glyma.09G077900.Wm82.a4.v1,False,False
Glyma.03G243100.Wm82.a4.v1,False,False
Glyma.03G211000.Wm82.a4.v1,False,False
Glyma.03G096600.Wm82.a4.v1,False,False
Glyma.18G134100.Wm82.a4.v1,False,False
Glyma.12G020600.Wm82.a4.v1,False,False
Glyma.14G082800.Wm82.a4.v1,False,False
Glyma.20G046200.Wm82.a4.v1,False,False
Glyma.06G133000.Wm82.a4.v1,False,False
Glyma.08G264100.Wm82.a4.v1,False,False
Glyma.04G154100.Wm82.a4.v1,False,False
Glyma.17G095633.Wm82.a4.v1,False,False
Glyma.04G176900.Wm82.a4.v1,False,False
Glyma.20G074200.Wm82.a4.v1,False,False
Glyma.13G078800.Wm82.a4.v1,False,False
Glyma.10G037900.Wm82.a4.v1,False,False
Glyma.15G203000.Wm82.a4.v1,False,False
Glyma.13G316800.Wm82.a4.v1,False,False
Glyma.04G002600.Wm82.a4.v1,False,False
Glyma.16G117400.Wm82.a4.v1,False,False
Glyma.15G005800.Wm82.a4.v1,False,False
Glyma.11G240400.Wm82.a4.v1,True,True
Glyma.16G007700.Wm82.a4.v1,True,True
Glyma.04G079800.Wm82.a4.v1,False,False
Glyma.18G179800.Wm82.a4.v1,False,False
Glyma.06G259400.Wm82.a4.v1,True,True
Glyma.07G223400.Wm82.a4.v1,False,False
Glyma.06G162700.Wm82.a4.v1,False,False
Glyma.18G144100.Wm82.a4.v1,False,False
Glyma.17G002900.Wm82.a4.v1,False,False
Glyma.15G230000.Wm82.a4.v1,False,False
Glyma.18G199600.Wm82.a4.v1,False,False
Glyma.02G102200.Wm82.a4.v1,False,False
Glyma.17G123800.Wm82.a4.v1,False,False
Glyma.10G292551.Wm82.a4.v1,False,False
Glyma.19G244600.Wm82.a4.v1,True,True
Glyma.04G000151.Wm82.a4.v1,False,True
Glyma.17G151800.Wm82.a4.v1,True,True
Glyma.18G297700.Wm82.a4.v1,False,False
Glyma.07G137500.Wm82.a4.v1,False,False
Glyma.16G080700.Wm82.a4.v1,False,False
Glyma.18G069802.Wm82.a4.v1,False,False
Glyma.07G234500.Wm82.a4.v1,False,True
Glyma.10G123400.Wm82.a4.v1,False,False
Glyma.18G042700.Wm82.a4.v1,False,False
Glyma.05G074400.Wm82.a4.v1,False,False
Glyma.12G064400.Wm82.a4.v1,False,False
Glyma.12G033000.Wm82.a4.v1,False,False
Glyma.03G186900.Wm82.a4.v1,False,False
Glyma.02G106000.Wm82.a4.v1,False,False
Glyma.05G040800.Wm82.a4.v1,False,False
Glyma.17G172400.Wm82.a4.v1,False,False
