clustering,libraries,cluster,n_cells,median_cv,mean_cv,genes_used,silhouette_within_library,silhouette_global
celltype_call,leaf_Heat_rep1,Vascular/Phloem parenchyma,30,3.159788394149273,3.452909808009193,1720,0.34042591396376837,0.24819763905962555
celltype_call,leaf_Heat_rep2,Bundle sheath,308,3.43344342157475,3.8248909940417093,1995,0.14151010200526867,0.11009068953838293
celltype_call,leaf_Heat_rep2,Companion cells,232,3.4747799274242057,4.561591476653931,1961,0.20000309417115691,0.16986245572445455
celltype_call,leaf_Heat_rep2,Epidermal,114,3.2624567633798094,3.5901951295842274,1976,0.2437363269133481,0.1484484491714104
celltype_call,leaf_Heat_rep2,Guard cells,80,3.043616467709393,3.3519848187016277,1978,0.25230897665260243,0.206986936918383
celltype_call,leaf_Heat_rep2,Hydathode cells,63,3.4155605196521703,3.8005069173881085,1892,0.12811558113010219,0.14023260133456114
celltype_call,leaf_Heat_rep2,Mesophyll,1499,3.2564416480565597,3.5995724950977066,1999,0.19355209283951805,0.18471357188038684
celltype_call,leaf_Heat_rep2,Unknown,28,3.0644573798304466,3.341344713667036,1666,0.07942484418518583,0.08299055123782555
celltype_call,leaf_Heat_rep2,Vascular/Phloem parenchyma,57,3.137480437941345,3.461858043149505,1937,0.00257218695991198,0.04476158201807984
celltype_call,leaf_Heat_rep3,Bundle sheath,142,3.23425167459209,3.5610889505142587,1956,0.04217285070535895,0.14575197512987098
celltype_call,leaf_Heat_rep3,Companion cells,115,3.212658961558796,3.722227316828923,1927,0.36529454487534196,0.2830220202619432
celltype_call,leaf_Heat_rep3,Epidermal,113,3.455534294799154,3.846172876744198,1940,0.18836983939647015,0.1789920879375745
celltype_call,leaf_Heat_rep3,Epidermal/Pavement,167,3.4385075923928277,4.012402129642776,1940,0.06708494559926204,0.13688126723845662
celltype_call,leaf_Heat_rep3,Guard cells,27,2.921866467827211,3.0977434998808095,1751,0.4311745629274495,0.33811650656498093
celltype_call,leaf_Heat_rep3,Hydathode cells,9,2.9999999999999996,2.4174885629277987,1115,0.37881746068594446,0.34571785035624836
celltype_call,leaf_Heat_rep3,Mesophyll,1545,3.3379966064372684,3.8893929913381404,1973,0.3465498445282897,0.16399129550969646
celltype_call,leaf_Heat_rep3,Unknown,35,2.9475435507484398,3.243829382555518,1797,0.1892363432681914,-0.02890043724570713
celltype_call,leaf_Heat_rep3,Vascular/Phloem parenchyma,40,3.3787486600457752,3.688017199451593,1824,0.17856362918531013,0.24828658374549897
celltype_call,leaf_control_rep1,Bundle sheath,630,3.0933054566936575,3.5152638563809684,1964,0.20181480616917694,0.12891750494806453
celltype_call,leaf_control_rep1,Companion cells,264,2.902724153795937,3.3194188821615453,1964,0.17857561018981621,0.16619491012011817
celltype_call,leaf_control_rep1,Epidermal,603,3.1218677863087767,3.6869917119203617,1967,0.1311720945001366,0.22419080293129987
celltype_call,leaf_control_rep1,Epidermal/Pavement,4,2.0,1.7414283388136669,477,0.14168761825794987,-0.053588415865739404
celltype_call,leaf_control_rep1,Guard cells,95,2.7247710012883233,2.9539283083327126,1951,0.2207241836882552,0.20513013794654816
