celltype_call,replicate,treatment,metric,value,organelle_set,n_cells,total_umis
Companion cells,rep3,HD,median_gene_per_cell,0.0294,cp,34,41010
Companion cells,rep3,HD,pct_reads,0.4804,cp,34,41010
Companion cells,rep3,HD,total,20.0,ct,34,41010
Companion cells,rep3,HD,median_gene,0.0,ct,34,41010
Companion cells,rep3,HD,median_gene_per_cell,0.0,ct,34,41010
Companion cells,rep3,HD,pct_reads,0.0488,ct,34,41010
Companion cells,rep3,HD,total,34.0,cr,34,41010
Companion cells,rep3,HD,median_gene,0.0,cr,34,41010
Companion cells,rep3,HD,median_gene_per_cell,0.0,cr,34,41010
Companion cells,rep3,HD,pct_reads,0.0829,cr,34,41010
Companion cells,rep3,HD,total,251.0,organelle,34,41010
Companion cells,rep3,HD,median_gene,0.0,organelle,34,41010
Companion cells,rep3,HD,median_gene_per_cell,0.0,organelle,34,41010
Companion cells,rep3,HD,pct_reads,0.612,organelle,34,41010
Companion cells,rep3,Heat,total,703.0,cp,115,142444
Companion cells,rep3,Heat,median_gene,3.0,cp,115,142444
Companion cells,rep3,Heat,median_gene_per_cell,0.0261,cp,115,142444
Companion cells,rep3,Heat,pct_reads,0.4935,cp,115,142444
Companion cells,rep3,Heat,total,53.0,ct,115,142444
Companion cells,rep3,Heat,median_gene,0.0,ct,115,142444
Companion cells,rep3,Heat,median_gene_per_cell,0.0,ct,115,142444
Companion cells,rep3,Heat,pct_reads,0.0372,ct,115,142444
Companion cells,rep3,Heat,total,248.0,cr,115,142444
Companion cells,rep3,Heat,median_gene,0.0,cr,115,142444
Companion cells,rep3,Heat,median_gene_per_cell,0.0,cr,115,142444
Companion cells,rep3,Heat,pct_reads,0.1741,cr,115,142444
Companion cells,rep3,Heat,total,1004.0,organelle,115,142444
Companion cells,rep3,Heat,median_gene,1.0,organelle,115,142444
Companion cells,rep3,Heat,median_gene_per_cell,0.0087,organelle,115,142444
Companion cells,rep3,Heat,pct_reads,0.7048,organelle,115,142444
Epidermal,rep1,Control,total,11253.0,cp,603,786652
Epidermal,rep1,Control,median_gene,54.0,cp,603,786652
Epidermal,rep1,Control,median_gene_per_cell,0.0896,cp,603,786652
Epidermal,rep1,Control,pct_reads,1.4305,cp,603,786652
