run_id,metric,collaborator,realigned,abs_diff,pct_diff
Heat_2,q30 bases in rna read,0.963,0.9570000000000001,0.005999999999999894,0.6230529595015467
Heat_2,q30 bases in umi,0.968,0.966,0.0020000000000000018,0.20661157024793408
Heat_2,reads mapped to genome,0.59,0.601,0.01100000000000001,1.8644067796610186
Heat_2,reads mapped confidently to genome,0.36,0.366,0.006000000000000005,1.6666666666666683
Heat_2,reads mapped confidently to intergenic regions,0.061,0.064,0.0030000000000000027,4.9180327868852505
Heat_2,reads mapped confidently to intronic regions,0.026000000000000002,0.027000000000000003,0.0010000000000000009,3.8461538461538494
Heat_2,reads mapped confidently to exonic regions,0.273,0.27399999999999997,0.0009999999999999454,0.3663003663003463
Heat_2,reads mapped confidently to transcriptome,0.281,0.282,0.0009999999999999454,0.355871886120977
Heat_2,reads mapped antisense to gene,0.018000000000000002,0.019,0.0009999999999999974,5.55555555555554
Heat_2,fraction reads in cells,0.6709999999999999,0.609,0.061999999999999944,9.239940387481363
Heat_2,total genes detected,46260.0,43504.0,2756.0,5.957630782533506
Heat_2,median umi counts per cell,291.0,252.0,39.0,13.402061855670103
Heat_3,estimated number of cells,3919.0,3919.0,0.0,0.0
Heat_3,mean reads per cell,95209.0,95209.0,0.0,0.0
Heat_3,median genes per cell,493.0,493.0,0.0,0.0
Heat_3,number of reads,373125842.0,373125842.0,0.0,0.0
Heat_3,valid barcodes,0.888,0.888,0.0,0.0
Heat_3,valid umi sequences,0.9990000000000001,0.97,0.029000000000000137,2.902902902902916
Heat_3,sequencing saturation,0.97,0.97,0.0,0.0
Heat_3,q30 bases in barcode,0.972,0.972,0.0,0.0
Heat_3,q30 bases in rna read,0.963,0.963,0.0,0.0
Heat_3,q30 bases in umi,0.978,0.978,0.0,0.0
Heat_3,reads mapped to genome,0.868,0.868,0.0,0.0
Heat_3,reads mapped confidently to genome,0.762,0.762,0.0,0.0
Heat_3,reads mapped confidently to intergenic regions,0.16,0.16,0.0,0.0
Heat_3,reads mapped confidently to intronic regions,0.086,0.086,0.0,0.0
Heat_3,reads mapped confidently to exonic regions,0.516,0.516,0.0,0.0
Heat_3,reads mapped confidently to transcriptome,0.552,0.552,0.0,0.0
Heat_3,reads mapped antisense to gene,0.049,0.049,0.0,0.0
Heat_3,fraction reads in cells,0.72,0.72,0.0,0.0
Heat_3,total genes detected,36746.0,36746.0,0.0,0.0
Heat_3,median umi counts per cell,571.0,571.0,0.0,0.0
Drought_1,estimated number of cells,22418.0,22418.0,0.0,0.0
Drought_1,mean reads per cell,12643.0,12643.0,0.0,0.0
Drought_1,median genes per cell,59.0,59.0,0.0,0.0
Drought_1,number of reads,283438876.0,283438876.0,0.0,0.0
Drought_1,valid barcodes,0.7240000000000001,0.7240000000000001,0.0,0.0
Drought_1,valid umi sequences,0.997,0.997,0.0,0.0
Drought_1,sequencing saturation,0.826,0.826,0.0,0.0
Drought_1,q30 bases in barcode,0.96,0.96,0.0,0.0
Drought_1,q30 bases in rna read,0.953,0.953,0.0,0.0
Drought_1,q30 bases in umi,0.972,0.972,0.0,0.0
Drought_1,reads mapped to genome,0.882,0.882,0.0,0.0
Drought_1,reads mapped confidently to genome,0.366,0.366,0.0,0.0
Drought_1,reads mapped confidently to intergenic regions,0.051,0.051,0.0,0.0
Drought_1,reads mapped confidently to intronic regions,0.028999999999999998,0.028999999999999998,0.0,0.0
Drought_1,reads mapped confidently to exonic regions,0.28600000000000003,0.28600000000000003,0.0,0.0
Drought_1,reads mapped confidently to transcriptome,0.302,0.302,0.0,0.0
Drought_1,reads mapped antisense to gene,0.013999999999999999,0.013999999999999999,0.0,0.0
Drought_1,fraction reads in cells,0.753,0.753,0.0,0.0
Drought_1,total genes detected,40325.0,40325.0,0.0,0.0
Drought_1,median umi counts per cell,329.0,329.0,0.0,0.0
Drought_2,estimated number of cells,34984.0,39335.0,4351.0,12.437114109307112
Drought_2,mean reads per cell,13744.0,6376.0,7368.0,53.60884749708964
Drought_2,median genes per cell,105.0,64.0,41.0,39.04761904761905
Drought_2,number of reads,480820024.0,250783750.0,230036274.0,47.84249043671276
Drought_2,valid barcodes,0.737,0.725,0.01200000000000001,1.6282225237449133
Drought_2,valid umi sequences,0.9990000000000001,0.9620000000000001,0.03700000000000003,3.7037037037037064
Drought_2,sequencing saturation,0.527,0.41600000000000004,0.11099999999999999,21.062618595825423
Drought_2,q30 bases in barcode,0.9540000000000001,0.955,0.0009999999999998899,0.10482180293499893
Drought_2,q30 bases in rna read,0.966,0.963,0.0030000000000000027,0.31055900621118043
Drought_2,q30 bases in umi,0.97,0.9690000000000001,0.0009999999999998899,0.10309278350514328
Drought_2,reads mapped to genome,0.866,0.866,0.0,0.0
