GeneID,Means-CK,Means-D_24,log2Ratio (D_24/CK),Up-Down-Regulation (D_24/CK),Probability
GLYMA14G32430,0.516666667,47.26,6.515242009,Up,0.972831389
GLYMA19G01860,43.16333333,190.43,2.141382588,Up,0.836723224
GLYMA13G12025,26.94666667,153.73,2.512220004,Up,0.860540827
GLYMA10G08871,0.376666667,6.95,4.205652706,Up,0.82494521
GLYMA17G06290,11.57333333,58.73,2.343293191,Up,0.842527395
GLYMA05G36710,207.2766667,900.0166667,2.118393998,Up,0.838179569
GLYMA11G01891,6.033333333,28.49333333,2.239597211,Up,0.814987628
GLYMA01G44670,1.623333333,13.51333333,3.057352411,Up,0.832234005
GLYMA10G12040,0.01,4.496666667,8.812712132,Up,0.83173913
GLYMA16G01440,0.12,9.106666667,6.245816767,Up,0.896344998
GLYMA18G19760,10.62333333,43.46,2.032451656,Up,0.812067869
GLYMA15G19970,17.61333333,65.83333333,1.902150282,Up,0.804489219
GLYMA08G04276,2.24,13.88,2.631436931,Up,0.810915518
GLYMA16G02860,5.81,27.81,2.258993676,Up,0.815326971
GLYMA08G03850,8.676666667,40.77,2.232295146,Up,0.824259456
GLYMA10G07133,7.923333333,47.49666667,2.583646866,Up,0.855450689
GLYMA18G44300,3.45,34.86666667,3.337180179,Up,0.886415695
GLYMA20G26830,1.86,32.08333333,4.108449514,Up,0.913619654
GLYMA02G13120,4.006666667,39.17666667,3.289520256,Up,0.884492754
GLYMA09G24410,14.33666667,241.6266667,4.074998148,Up,0.935072464
GLYMA07G35620,0.643333333,8.066666667,3.648334295,Up,0.818020502
GLYMA09G32120,11.22333333,45.30666667,2.013222131,Up,0.811495228
GLYMA10G35871,75.63,482.67,2.674006636,Up,0.875648639
GLYMA18G44820,3.563333333,19.09666667,2.422021485,Up,0.813711559
GLYMA04G05720,2.22,56.85333333,4.678613356,Up,0.943527748
GLYMA08G26410,3.606666667,24.60333333,2.770115791,Up,0.844004949
GLYMA06G22900,0.01,6.056666667,9.242380204,Up,0.869621774
GLYMA15G01100,8.223333333,44.81333333,2.446132827,Up,0.842774832
