GeneID,Means-CK,Means-H_24,log2Ratio (H_24/CK),Up-Down-Regulation (H_24/CK),Probability
GLYMA13G40590,6.033333333,40.24666667,2.737842104,Up,0.846797847
GLYMA03G40770,236.3066667,1573.543333,2.735284673,Up,0.867997368
GLYMA03G19260,42.68,282.61,2.727180434,Up,0.866016366
GLYMA03G02090,8.02,53.05333333,2.725769257,Up,0.852222852
GLYMA13G11820,20.64333333,136.3033333,2.723072994,Up,0.862649363
GLYMA10G35090,4.253333333,27.91,2.714116296,Up,0.835377335
GLYMA12G05320,12.44333333,81.63666667,2.713844269,Up,0.857987358
GLYMA17G03350,43.77333333,287.15,2.713680407,Up,0.865382865
GLYMA04G05300,4.873333333,31.96,2.713286598,Up,0.83974184
GLYMA09G05440,22.77666667,148.5133333,2.704963929,Up,0.862470862
GLYMA17G11160,2.993333333,19.50666667,2.704142419,Up,0.82037282
GLYMA20G01910,34.32,222.97,2.699728155,Up,0.864210364
GLYMA19G05570,2.126666667,13.77666667,2.695561035,Up,0.801024801
GLYMA05G04180,7.42,47.96666667,2.692541094,Up,0.848929349
GLYMA05G01845,7.393333333,47.78,2.692109989,Up,0.848831349
GLYMA03G24020,8.453333333,54.6,2.691308706,Up,0.851351351
GLYMA09G25520,3.953333333,25.52333333,2.690675247,Up,0.831208831
GLYMA18G07301,9.616666667,62.01666667,2.689047166,Up,0.853412853
GLYMA07G08710,6.316666667,40.69,2.687438933,Up,0.845310345
GLYMA07G32330,5.96,38.31666667,2.684587824,Up,0.843651344
GLYMA11G15030,2.723333333,17.45333333,2.680057114,Up,0.814048314
GLYMA20G38070,2.74,17.54333333,2.678675096,Up,0.814282814
GLYMA14G35370,2.186666667,13.97,2.675526802,Up,0.801101801
GLYMA06G16490,3.723333333,23.78,2.67508203,Up,0.828041328
GLYMA20G21230,2.476666667,15.79333333,2.672844083,Up,0.808304808
GLYMA08G04670,7.286666667,46.44,2.672037072,Up,0.847525848
GLYMA03G16510,7.926666667,50.49333333,2.671306706,Up,0.849104349
