GeneID,Means-CK,Means-DH_24,"log2Ratio (DH_24/CK)","Up-Down-Regulation (DH_24/CK)",Probability
GLYMA13G28630,29.80333333,226.2966667,2.924669732,Up,0.886272858
GLYMA20G22700,3.12,85.37333333,4.774167575,Up,0.951167035
GLYMA13G09730,171.61,14.67,-3.548192847,Down,0.913232249
GLYMA11G04250,2.956666667,16.08,2.443223898,Up,0.808472851
GLYMA18G12670,1.563333333,12.57,3.007287323,Up,0.827931628
GLYMA02G00820,7.553333333,0.403333333,-4.227068909,Down,0.837808431
GLYMA07G15290,1.05,12.22,3.540783052,Up,0.848425819
GLYMA02G46610,40.77,141.1366667,1.79151298,Up,0.808125373
GLYMA10G09557,394.86,115.2866667,-1.776115558,Down,0.810715665
GLYMA11G26240,26.42666667,5.1,-2.37342531,Down,0.82697694
GLYMA12G35411,2.563333333,116.57,5.507031642,Up,0.970008073
GLYMA06G11870,1.496666667,13.12666667,3.132675761,Up,0.833775578
GLYMA01G26360,7.73,0.526666667,-3.875506356,Down,0.826654031
GLYMA13G21401,84.10333333,22.37333333,-1.910382766,Down,0.813899126
GLYMA04G12040,3.476666667,32.05666667,3.204847761,Up,0.877575375
GLYMA15G38125,1304.41,268.73,-2.279168114,Down,0.850422941
GLYMA08G41251,0.25,16.84333333,6.074105774,Up,0.935870977
GLYMA01G08056,0.373333333,10.11,4.759174861,Up,0.879319785
GLYMA10G01610,23.56333333,157.9233333,2.7446088,Up,0.875220245
GLYMA09G42020,0.89,28.64666667,5.00841813,Up,0.936576463
GLYMA18G47970,5.89,46.59333333,2.983784007,Up,0.872910744
GLYMA12G36150,627.7,184.0666667,-1.769846822,Down,0.810417325
GLYMA03G00790,5.126666667,51.16333333,3.319017257,Up,0.894250816
GLYMA18G04580,0.286666667,15.88666667,5.792298481,Up,0.929058299
GLYMA10G39780.11,0.78,90.08333333,6.851642278,Up,0.984117792
GLYMA12G14420,25.58,105.9466667,2.050250028,Up,0.830518409
GLYMA08G40150,17.79333333,3.323333333,-2.420633896,Down,0.812828613
GLYMA06G33380,14.38666667,82.10666667,2.512767003,Up,0.856860061
GLYMA13G11550,0.063333333,4.243333333,6.06608919,Up,0.816685971
GLYMA01G11180,7448.453333,2109.296667,-1.820178862,Down,0.815464533
GLYMA14G35330,14.13,2.413333333,-2.549662364,Down,0.806001895
GLYMA03G16510,7.926666667,69.35,3.129109668,Up,0.887343372
GLYMA08G16050,35.48666667,6.32,-2.489280602,Down,0.840925204
GLYMA03G28050,29.45,3.06,-3.266664076,Down,0.876427644
GLYMA09G31810,67.20333333,14.38,-2.224469118,Down,0.835709522
GLYMA06G12470,99.22333333,23.58333333,-2.072911777,Down,0.831357271
GLYMA13G24461,1.676666667,21.59,3.686695439,Up,0.882934962
GLYMA11G06590,40.17,8.346666667,-2.2668464,Down,0.828893335
GLYMA01G40620,0.67,8.126666667,3.600430719,Up,0.821863044
GLYMA18G07380,28.50666667,5.043333333,-2.498849866,Down,0.835249728
GLYMA01G35570,12.26,54.17,2.143535112,Up,0.827759643
GLYMA11G08770,9.706666667,1.33,-2.867549704,Down,0.801056474
GLYMA02G06020,15.15333333,1.406666667,-3.42928278,Down,0.855768488
GLYMA06G43440,12.78333333,0.683333333,-4.225530763,Down,0.877800007
GLYMA11G13111,0.88,8.33,3.242741067,Up,0.806633674
GLYMA12G13315,68.38,482.0733333,2.817606299,Up,0.885433997
GLYMA05G21346,357.1033333,63.90333333,-2.482378508,Down,0.863128707
GLYMA16G11370,1.483333333,39.38333333,4.730670483,Up,0.937492542
GLYMA07G27370,27.38333333,4.066666667,-2.751379427,Down,0.848499526
GLYMA10G28680,15.24666667,121.0466667,2.988997581,Up,0.884921554
GLYMA01G02800,0.733333333,10.18666667,3.796069115,Up,0.845379243
GLYMA07G09960,18.23,3.31,-2.461411439,Down,0.815657576
GLYMA06G41664,9.49,0.08,-6.890264277,Down,0.908142922
GLYMA15G10660,216.5833333,53.61666667,-2.014168793,Down,0.831613492
GLYMA18G44560,84.32666667,16.91,-2.318112268,Down,0.848948791
GLYMA02G06400,2.493333333,23.98333333,3.265884512,Up,0.869832579
GLYMA05G04290,15.77,334.73,4.407743292,Up,0.947309677
GLYMA11G02530,0.886666667,10.21666667,3.526388923,Up,0.835569127
GLYMA08G11870,44.16,8.99,-2.296347151,Down,0.832533081
GLYMA03G28920,5.543333333,31.49,2.50606809,Up,0.83842617
GLYMA07G05360,12.98666667,1.03,-3.656314934,Down,0.857456741
GLYMA11G31151,0.1,8.716666667,6.445704636,Up,0.897799305
GLYMA14G22700,2.356666667,49.76333333,4.400263506,Up,0.933013934
GLYMA01G24550,14.05666667,55.64333333,1.984954327,Up,0.813523569
GLYMA11G09700,0.876666667,8.146666667,3.216109581,Up,0.804296094
GLYMA04G17710,1.78,18.05333333,3.342316092,Up,0.863019901
GLYMA10G05800,0.01,4.426666667,8.790076931,Up,0.836983609
GLYMA02G08680,0.126666667,11.97666667,6.563045707,Up,0.922077147
GLYMA01G22770,0.01,7.62,9.573647187,Up,0.897325471
GLYMA10G23560,0.056666667,5.383333333,6.569855608,Up,0.851770735
GLYMA07G15170,20.96,85.59,2.029803531,Up,0.827096276
GLYMA08G45580,0.646666667,16.83333333,4.70215483,Up,0.908648345
GLYMA11G05680,4.176666667,20.30333333,2.28129269,Up,0.807156646
GLYMA14G35720,18.57333333,88.4,2.250813612,Up,0.840647924
GLYMA10G21570,3.033333333,18.23666667,2.587866105,Up,0.82640132
GLYMA10G34120,0.63,22.70666667,5.171620295,Up,0.932747183
GLYMA05G03110,121.87,20.74333333,-2.55462338,Down,0.861728265
GLYMA15G38091,695.6466667,84.69666667,-3.037977621,Down,0.895977677
GLYMA07G08470,21.27666667,1.75,-3.60384532,Down,0.881313397
GLYMA01G42950,3.8,23.32,2.617496465,Up,0.838278755
GLYMA18G45420,3.976666667,20.94333333,2.396859537,Up,0.819402618
GLYMA18G06063,83.92333333,13.15333333,-2.673643526,Down,0.868579551
GLYMA13G38240,0.92,60.83666667,6.047163436,Up,0.972022744
GLYMA08G07570,1.646666667,32.00666667,4.280751989,Up,0.918721702
GLYMA13G29350,6.66,37.96333333,2.51101259,Up,0.843441789
GLYMA05G35501,0.34,27.44666667,6.334952391,Up,0.95747078
GLYMA12G09660,20.56,154.2133333,2.907015337,Up,0.884370503
GLYMA01G02850,15.95,63.65333333,1.996679642,Up,0.821480468
GLYMA13G00850,8.13,60.81666667,2.903139488,Up,0.875437858
GLYMA15G19910,4.846666667,61.88666667,3.674563849,Up,0.90937489
GLYMA08G40680,1.916666667,14.65,2.934229304,Up,0.83079218
GLYMA18G15390,0.046666667,5.28,6.822001698,Up,0.851654909
GLYMA08G05361,0.01,20.08333333,10.97178303,Up,0.958685199
GLYMA20G31810,44.99,6.023333333,-2.900970361,Down,0.870011583
GLYMA17G04160,4.08,76.65333333,4.231707473,Up,0.932912148
GLYMA07G30710,0.576666667,26.19666667,5.505501809,Up,0.944263101
GLYMA20G26411,5.42,39.25,2.856327897,Up,0.86598575
GLYMA16G19580,6.863333333,27.79666667,2.017930558,Up,0.803488821
GLYMA16G04760,0.726666667,17.52333333,4.591839695,Up,0.907184725
GLYMA09G09236,11.46666667,0.01,-10.16323035,Down,0.929181145
GLYMA11G14580,24.42333333,153.6466667,2.653284448,Up,0.872208768
GLYMA11G14820,109.97,21.97333333,-2.323284361,Down,0.851219683
GLYMA16G13601,10.08666667,0.033333333,-8.241268177,Down,0.918128532
GLYMA05G37350,1.613333333,48.81666667,4.919257335,Up,0.947179811
GLYMA17G14921,21.33,4.47,-2.254537229,Down,0.807648029
GLYMA07G32030,0.01,4.74,8.888743249,Up,0.845719701
GLYMA06G08190,60.04666667,12.63666667,-2.248468205,Down,0.835713032
GLYMA02G11480,32.98333333,8.42,-1.969845068,Down,0.801119652
GLYMA06G38160,40.47,6.483333333,-2.642045195,Down,0.855473658
GLYMA12G05900,0.956666667,14.31666667,3.903535489,Up,0.8715454
GLYMA06G13890,1.41,14.33333333,3.345607091,Up,0.851174055
GLYMA13G34720,8.876666667,63.93666667,2.848553603,Up,0.874974553
GLYMA15G01350,0.113333333,7.85,6.114048503,Up,0.885714787
GLYMA06G42935,11.54666667,0.843333333,-3.77522964,Down,0.854210101
GLYMA07G33870,14.19666667,86.83333333,2.612696738,Up,0.866677196
GLYMA13G19560,7.756666667,92.64333333,3.578178453,Up,0.913042715
GLYMA07G36805,22.85,4.686666667,-2.285560072,Down,0.812751395
GLYMA08G21510,0.163333333,10.72333333,6.036790377,Up,0.909234495
GLYMA18G53954,68.93666667,18.59,-1.890744771,Down,0.809852234
GLYMA05G17432,261.03,26.04,-3.325414271,Down,0.907739286
GLYMA13G35010,0.01,8.88,9.794415866,Up,0.910111965
GLYMA10G28300,5.373333333,115.5066667,4.426014973,Up,0.943160998
GLYMA18G32211,383.2466667,108.79,-1.816727294,Down,0.814183426
GLYMA16G27148,7.39,183.3633333,4.632987001,Up,0.951479415
GLYMA20G29040,2.65,27.72,3.386862993,Up,0.880425397
GLYMA14G04000,2.746666667,16.82666667,2.614995668,Up,0.823295076
GLYMA13G17770,2.95,22.78,2.948980887,Up,0.852114703
GLYMA06G04353,20.6,103.3233333,2.32644985,Up,0.851072268
GLYMA12G02385,129.1033333,23.93666667,-2.431232083,Down,0.857326875
GLYMA14G13770,0.486666667,13.65,4.809823178,Up,0.900424696
GLYMA11G04950,1.073333333,9.236666667,3.105274117,Up,0.80792531
GLYMA12G28750,114.6933333,433.96,1.919780534,Up,0.822217542
GLYMA01G32440,0.266666667,12.94333333,5.601027897,Up,0.914506335
GLYMA13G25870,36.92,174.6066667,2.241634186,Up,0.8445825
GLYMA05G18342,0.59,8.743333333,3.889396542,Up,0.83724685
GLYMA06G06145,0.043333333,4.43,6.675685671,Up,0.828781019
GLYMA2269S00200,2.956666667,34.82666667,3.558148887,Up,0.893060967
GLYMA07G01660,0.106666667,5.366666667,5.652844973,Up,0.839812572
GLYMA19G36620,3.413333333,17.83,2.385053488,Up,0.811610684
GLYMA18G46161,24.38,3.896666667,-2.645385697,Down,0.841019971
GLYMA07G30460,8.373333333,33.55,2.002438803,Up,0.808076235
GLYMA08G08800,10.23333333,0.703333333,-3.862923752,Down,0.849352427
GLYMA15G29630,74.88,9.486666667,-2.980607274,Down,0.880586852
GLYMA04G17650,13.64666667,71.5,2.38939464,Up,0.850229897
GLYMA19G22570,0.01,4.97,8.957102042,Up,0.851556632
GLYMA02G44200,25.58666667,96.06333333,1.908593659,Up,0.815208311
GLYMA16G28980,0.733333333,7.743333333,3.400413725,Up,0.806949563
GLYMA12G32725,11.49333333,0.923333333,-3.637801893,Down,0.849243621
GLYMA09G01320,47.15,205.9033333,2.12663751,Up,0.839142185
GLYMA11G29350,16.84,58.99666667,1.808741306,Up,0.801112632
GLYMA0737S00250,36.32666667,8.556666667,-2.085908195,Down,0.816047173
GLYMA19G41580,3.16,103.9866667,5.040330187,Up,0.959696044
GLYMA16G33451,0.306666667,23.94,6.286607982,Up,0.952830718
GLYMA12G15430,186.01,41.61333333,-2.160262422,Down,0.840416272
GLYMA08G40705,13.03,1.676666667,-2.958169279,Down,0.824502474
GLYMA08G03200,2.696666667,16.81666667,2.640642662,Up,0.824460356
GLYMA13G27510,24.39,5.77,-2.079646534,Down,0.803014987
GLYMA01G01400,7.726666667,45.84666667,2.568898779,Up,0.849991225
GLYMA07G38780,139.0566667,14.37,-3.274540945,Down,0.900347478
GLYMA06G03140,15.39666667,56.23,1.868722001,Up,0.805412235
GLYMA08G29130,24.85,85.39,1.780821274,Up,0.803408094
GLYMA04G05500,0.153333333,20.81333333,7.084692866,Up,0.953824015
GLYMA13G34910,3.16,26.99666667,3.094784822,Up,0.866052438
GLYMA11G33180,12.53333333,86.26333333,2.782977304,Up,0.87214208
GLYMA12G35290,25.1,0.67,-5.227382458,Down,0.93724685
GLYMA16G31401,12.65333333,1.65,-2.938979562,Down,0.822045558
GLYMA07G04810,35.02666667,1.406666667,-4.638101296,Down,0.932947246
GLYMA19G41900,13.56666667,0.52,-4.70541086,Down,0.897248254
GLYMA03G41580,0.01,4.923333333,8.94349161,Up,0.850307115
GLYMA15G07465,4.74,27.35333333,2.528757689,Up,0.835000526
GLYMA08G17100,0.163333333,79.26666667,8.922751251,Up,0.989519497
GLYMA20G16920,158.3233333,33.33666667,-2.247692131,Down,0.844694816
GLYMA0819S00210,24.34,242.8966667,3.318941618,Up,0.907412867
GLYMA04G10151,585.5066667,179.2233333,-1.707927121,Down,0.804773437
GLYMA04G13490,23.27,145.3633333,2.643120292,Up,0.871594539
GLYMA20G29840,5.93,34.35,2.534206089,Up,0.841690358
GLYMA03G38150,0.223333333,20.98,6.553672273,Up,0.95043347
GLYMA19G40680,2.27,46.77666667,4.365024855,Up,0.930111263
GLYMA14G09760,12.58333333,51.97333333,2.046257446,Up,0.821326033
GLYMA03G04470,1.66,53.69333333,5.015487825,Up,0.95103015
GLYMA03G24320,0.67,37.18,5.794221864,Up,0.959141483
GLYMA18G46060,25.62333333,4.706666667,-2.44468058,Down,0.829146046
GLYMA13G01631,3.44,34.38333333,3.321228945,Up,0.885437507
GLYMA11G21756,28.57333333,6.53,-2.129514452,Down,0.811694921
GLYMA13G42340,2.966666667,26.82,3.176394497,Up,0.871963076
GLYMA13G01300,26.52,1.633333333,-4.021189622,Down,0.904299603
GLYMA08G18200,24.59666667,0.01,-11.2642471,Down,0.96627707
GLYMA05G33340,0.223333333,137.2266667,9.263146551,Up,0.994005124
GLYMA18G03930,8.346666667,103.13,3.6271201,Up,0.914467727
GLYMA17G08020,1.213333333,194.0066667,7.320986469,Up,0.99148503
GLYMA15G19390,30.45666667,6.903333333,-2.141393002,Down,0.814401039
GLYMA04G41240,0.87,12.16333333,3.805379439,Up,0.860791127
GLYMA12G01450,1.733333333,30.94333333,4.15800759,Up,0.912568881
GLYMA07G17000,5.57,25.73333333,2.207889114,Up,0.812635569
GLYMA13G02740,14.31333333,65.73666667,2.199338613,Up,0.834259942
GLYMA02G01850,31.59,6.816666667,-2.212329595,Down,0.819304342
GLYMA12G26836,11.78666667,50.96,2.112209504,Up,0.82463234
GLYMA01G42661,7.436666667,53.61,2.849774122,Up,0.872194728
GLYMA10G36680,18.92,79.84666667,2.077320092,Up,0.829756765
GLYMA14G15250,156.3233333,41.22,-1.923116726,Down,0.819128848
GLYMA12G00370,0.076666667,17.47666667,7.832614874,Up,0.949461233
GLYMA13G37750,31.5,3.833333333,-3.038680468,Down,0.869390334
GLYMA11G36030,1.71,35.42333333,4.372631746,Up,0.923898775
GLYMA06G17540,0.03,5.29,7.462161411,Up,0.855463129
GLYMA10G30340,24.77,4.436666667,-2.481045798,Down,0.829402267
GLYMA20G33800,11.69333333,0.293333333,-5.317001414,Down,0.903046576
GLYMA06G11050,9.833333333,1.12,-3.134181816,Down,0.813291917
GLYMA10G32410,8.88,1.056666667,-3.071039337,Down,0.803987224
GLYMA06G11790,12.93666667,48.22666667,1.898365165,Up,0.804503176
GLYMA07G11810,1.313333333,17.21666667,3.712500814,Up,0.876203011
GLYMA01G26570,0.313333333,173.7266667,9.11490525,Up,0.995072128
GLYMA10G39460,1925.913333,549.58,-1.809141374,Down,0.814597592
GLYMA19G32650,13.6,1.683333333,-3.014213859,Down,0.833080622
GLYMA05G00540,3.37,41.40666667,3.619042571,Up,0.901417992
GLYMA09G31731,0.063333333,6.496666667,6.680590862,Up,0.873135376
GLYMA20G38450,2.156666667,12.86,2.576015526,Up,0.8067495
